Name of the company,Total no of candidates placed
M/s. Accenture Services,248
M/s. Infosys Ltd,116
M/s. Soliton Technologies Private Limited,4
M/s. Renault Nissan,35
M/s. Hyundai Motors,1
M/s. TAFE,1
M/s. Amazon,1
M/s. System Controls,8
M/s. Delphi TVS Diesel Systems Ltd,3
M/s. Steel Strip Wheels ( TVS Group),12
M/s. RANE,6
M/s. Everest Industries,2
M/s. Base Automation,7
M/s. Titan Engineering & Automation Ltd,4
M/s. City Union Bank,12
M/s. Robert Bosch,2
M/s. JSE Engineering Pvt Ltd,16
M/s. Emerson Fisher Engineering Center,3
M/s. Coda Global,4
M/s. Zoho Corporation,1
M/s. Cognizant Technology Solutions,1
"M/s. IVTL Infoview Technologies Pvt Ltd.,",2
M/s. Dvita Solutions,5
M/s. Wipro Technologies,9
M/s. Odessa Technologies,2
M/s. Vuram technologies,2
M/s. Ninjacart,69
M/s. Vedanta Resources,9
M/s. Aditya Birla,9
M/s. Kalycito,5
M/s. Sanmar Engg,3
M/s. Infosys Ltd ( BSc - Software Division),26
M/s. Milky Mist,8
M/s. Strategi Automation,5
M/s. Burning Glass (Checktronix India Pvt Ltd),3
M/s. Zetek Castings Pvt Ltd,8
M/s. NDOT Technologies,7
M/s. SPIC,6
M/s. Spic TAC,4
M/s. Nokia,1
M/s. Elgi Equipments,1
M/s. Wipro (WASE & WIMS) - BSc,7
M/s. Newgen Software Technologies,6
M/s. Ejyle Technologies Pvt Ltd,6
M/s. Aurum Info Solutions,5
M/s. Naveen Alarm Systems,5
M/s. Sysbiz Technologies,4
M/s. Lucid IT Solutions,11
M/s. Anritsu,4
M/s. Amazon (BPO),4
M/s. Xoriant,2
M/s. Smart DV Technologies,1
"M/s. E-Con, Chennai",1
M/s. Pantech Prolabs,4
M/s. Lubdub Medical Technologies,4
M/s. Hatsun Agro,4
M/s. Vi-Micro Systems,4
M/s. Saravana Chem Dye,4
M/s. Ridsys,4
M/s. Cranes Software,4
M/s. Indus Teqsite (Data Pattern),3
M/s. Diabetic Footcare India Pvt Ltd,3
M/s. Adroit Power Systems India P Ltd,3
M/s. Calsoft,3
M/s. RCCL,3
M/s. Proscape LLC,3
M/s. Fanuc India,2
M/s. ITC Ltd (Foods Division),2
M/s. Innoventees Technologies India Pvt Ltd,2
M/s. ARK Automation,2
M/s. Malar Electronics,2
M/s. Mindtree,2
M/s. ICICI Securities,2
M/s. Base Electronics,2
M/s. Auriss Technologies,2
M/s. Turbo Energy,2
M/s. Thoughts Crest Software Pvt Ltd,2
M/s. Volantee Technologies,1
M/s. Unilogic Technologies,1
M/s. Vernalis,1
M/s. MNW,13
M/s. Vistaar Finance,1
M/s. Kaar Technologies,1
M/s. Glenwood Systems,1
M/s. Elmex,1
M/s. CG-Vak Software & Exports Ltd,1
M/s. Tango Systems India Pvt Ltd,1
M/s. Latlon Technologies,1
M/s. Gratoon Technologies,1
M/s. Teemage Precast In,7
Other Software & Core Companies,229
